mot0set, mot1set, mot2set, radius
0.000000, 0.000000, 0.000000, 20.501094
320.000000, 0.000000, 0.000000, 18.056133
0.000000, 320.000000, 0.000000, 8.970383
0.000000, 0.000000, 320.000000, 47422.482687
212.000000, 212.000000, -320.000000, 4.890934
318.000000, 318.000000, -640.000000, 8.517980
354.000000, 354.000000, -212.000000, 4.738109
531.000000, 531.000000, -318.000000, 3.305445
174.000000, 708.000000, -424.000000, 12.377671
283.000000, 177.000000, -106.000000, 6.453942
684.000000, 292.000000, -496.000000, 4.284429
667.000000, 513.000000, -650.000000, 8.659605
379.000000, 261.000000, -242.000000, 7.461602
607.000000, 411.000000, -407.000000, 3.351390
371.000000, 371.000000, -319.000000, 5.312627
407.000000, 354.000000, -212.000000, 8.941713
599.000000, 520.000000, -484.000000, 3.845547
787.000000, 603.000000, -487.000000, 8.150595
475.000000, 429.000000, -361.000000, 7.844034
569.000000, 471.000000, -362.000000, 3.075805
565.000000, 525.000000, -401.000000, 6.563958
451.000000, 451.000000, -318.000000, 6.418538
469.000000, 443.000000, -263.000000, 3.271855
595.000000, 511.000000, -310.000000, 7.850606
487.000000, 466.000000, -316.000000, 5.606819
559.000000, 496.000000, -312.000000, 2.306060
533.000000, 409.000000, -306.000000, 8.711301
531.000000, 500.000000, -315.000000, 6.122058
564.000000, 483.000000, -337.000000, 2.366051
514.000000, 469.000000, -287.000000, 6.662932
545.000000, 513.000000, -315.000000, 6.062518
598.000000, 525.000000, -355.000000, 3.326567
601.000000, 489.000000, -353.000000, 8.877715
559.000000, 507.000000, -324.000000, 6.556840
561.000000, 489.000000, -324.000000, 2.766574
578.000000, 510.000000, -333.000000, 8.412124
552.000000, 504.000000, -313.000000, 6.879169
536.000000, 482.000000, -299.000000, 2.970527
552.000000, 474.000000, -309.000000, 7.225190
552.000000, 496.000000, -312.000000, 4.831859
552.000000, 482.000000, -310.000000, 3.141910
552.000000, 492.000000, -311.000000, 9.252480
560.000000, 492.000000, -318.000000, 5.609887
547.000000, 489.000000, -305.000000, 3.785283
555.000000, 496.000000, -312.000000, 8.317890
555.000000, 488.000000, -310.000000, 4.457994
546.000000, 490.000000, -300.000000, 4.169077
545.000000, 494.000000, -300.000000, 301.887484
558.000000, 492.000000, -316.000000, 6.117120
552.000000, 489.000000, -307.000000, 7.410732
564.000000, 493.000000, -324.000000, 3.124403
560.000000, 495.000000, -319.000000, 5.959219
554.000000, 490.000000, -310.000000, 6.677570
558.000000, 494.000000, -316.000000, 3.075271
573.000000, 499.000000, -329.000000, 7.036204
553.000000, 491.000000, -311.000000, 7.559137
