mot0set, mot1set, mot2set, radius, mean delta orient, total delta orient
0.000000, 0.000000, 0.000000, 30.873597, 0.000260, 0.256070
128.000000, 128.000000, 128.000000, 43.405687, 0.016334, 16.333850
128.000000, 128.000000, -128.000000, 6.559913, -0.060189, -60.188500
-128.000000, 128.000000, 128.000000, 31.771066, -0.024739, -24.739450
-128.000000, 42.000000, -128.000000, 7.555235, -0.128743, -128.742920
128.000000, -16.000000, -298.000000, 29.709567, -0.017689, -17.713620
84.000000, 102.000000, -368.000000, 7.801168, -0.057101, -57.100800
-72.000000, 196.000000, -118.000000, 3.648149, -0.160476, -159.825520
-172.000000, 302.000000, -28.000000, 4.991685, -0.177205, -177.204850
-132.000000, 142.000000, 120.000000, 21.144796, 0.335209, 335.209240
30.000000, 112.000000, -246.000000, 13.276304, -0.062934, -62.649540
28.000000, 162.000000, -123.000000, 10.710244, -0.082509, -82.509170
-100.000000, 119.000000, -123.000000, 6.573837, -0.134869, -134.868960
6.000000, 149.000000, -243.000000, 5.782129, 0.286619, 287.011390
-6.000000, -149.000000, 243.000000, 32.068558, -0.325999, -325.931770
-90.000000, 467.000000, -485.000000, 8.522612, 0.140314, 141.383730
90.000000, -467.000000, 485.000000, 10.787119, 0.115478, 115.478240
-186.000000, 785.000000, -727.000000, 9.945916, -0.219324, -219.323600
-266.000000, 570.000000, -521.000000, 8.024242, 0.141786, 141.786410
266.000000, -570.000000, 521.000000, 9.761609, 0.108995, 108.995370
248.000000, -955.000000, 913.000000, 7.858179, -0.231389, -232.048630
316.000000, -996.000000, 969.000000, 13.121876, 0.118664, 118.663910
-120.000000, 178.000000, -148.000000, 3.821722, -0.157062, -157.062500
-442.000000, 1283.000000, -1171.000000, 13.963164, 0.209319, 209.319140
75.000000, -395.000000, 392.000000, 9.015597, 0.094252, 93.091140
-96.000000, 187.000000, -133.000000, 6.362453, -0.150083, -150.082630
-86.000000, 157.000000, -120.000000, 6.741207, -0.137758, -137.757540
88.000000, -379.000000, 397.000000, 8.404093, 0.099978, 99.978290
-256.000000, 739.000000, -643.000000, 6.651733, 0.155141, 155.140740
256.000000, -739.000000, 643.000000, 7.909402, -0.258600, -258.600190
