mot0set, mot1set, mot2set, radius, mean delta orient, total delta orient,,,,,,,,,
0,0,0,0.008471,-0.000037,-0.02832,,,,,,0.008471,21.484399,31.200988,6.326444
128,0,0,31.200988,0.018926,18.92594,,,,,,0.008471,6.326444,21.484399,5.081305
0,128,0,66.489353,-0.015215,-15.21521,,,,,,0.008471,5.081305,6.326444,7.164564
0,0,128,21.484399,0.041888,42.15496,,,,,,0.008471,4.782051,,
84,-128,84,6.326444,0.075513,75.51347,,,,,,0.008471,7.017088,,
-72,-84,140,27.812866,0.019594,19.59446,,,,,,0.008471,64.400566,,
78,-21,35,5.081305,-0.285081,-285.08052,,,,,,0.008471,,,
108,-98,-50,42.639815,0.007824,7.57062,,,,,,0.008471,,,
27,-24,83,7.164564,0.087373,86.96646,,,,,,0.008471,,,
81,-74,-5,12.167126,0.021731,21.73099,,,,,,0.008471,,,
40,-36,61,8.281159,0.07218,72.11409,,,,,,0.008471,,,
39,-10,17,4.782051,0.069441,69.44138,,,,,,,,,
42,-64,42,7.017088,0.059412,59.41211,,,,,,,,,
13,-12,41,64.400566,-0.288341,-288.53953,,,,,,,,,
41,-36,-3,23.462853,0.032938,32.72478,,,,,,,,,
20,-18,30,14.382552,0.07753,77.53033,,,,,,,,,
34,-30,8,6.836297,0.053756,53.7557,,,,,,,,,
6,38,-26,14.549762,-0.055078,-55.02837,,,,,,,,,
33,-38,25,8.087735,0.058958,58.79006,,,,,,,,,
19,-5,8,5.196692,0.061106,61.10632,,,,,,,,,
17,-15,4,6.01515,-0.285324,-285.32425,,,,,,,,,
21,-32,21,10.518469,0.074445,74.44509,,,,,,,,,
3,20,-13,13.330999,-0.034919,-34.70997,,,,,,,,,
16,-19,12,12.530808,0.071631,71.63098,,,,,,,,,
9,-2,4,18.382317,0.057994,57.99448,,,,,,,,,
8,-7,2,2.740351,0.064407,64.40735,,,,,,,,,
10,-16,10,3.513519,0.069659,69.65859,,,,,,,,,
3,-12,4,10.953898,-0.282032,-282.03192,,,,,,,,,
7,-4,4,12.234472,0.076608,76.60821,,,,,,,,,
5,-10,4,39470.61692,0.067424,66.51532,,,,,,,,,
6,-5,4,3.193607,0.060611,60.61097,,,,,,,,,
-2,8,-6,6.09354,-0.130709,-130.70928,,,,,,,,,
7,-10,6,38.561142,0.062324,60.66557,,,,,,,,,
