mot0set, mot1set, mot2set, radius,step
0,0,0,11.725469,1
320,0,0,14.293155,2
0,320,0,57.158881,3
0,0,320,9.323776,4
212,-320,212,4.702204,5
-180,-212,354,31.886315,6
195,-53,88,0.98306,7
270,-248,412,15.246248,8
67,-62,103,20.714429,9
203,-186,150,7.43098,10
97,-26,204,4.670817,11
97,-26,44,32015.43331,12
233,-150,250,7.17365,13
147,34,210,11.854057,14
189,-131,165,0.927716,15
87,10,54,16747.4207,16
196,-110,201,3.385452,17
289,-170,98,9.934935,18
145,-62,177,8.222876,19
192,-92,126,3896.894022,20
192,-120,183,3.361531,21
143,-78,184,3.00786,22
156,-126,228,34261.57515,23
183,-100,151,2.315641,24
150,-86,149,1.142247,25
205,-132,126,3.021135,26
158,-91,169,41.535344,27
169,-108,157,6.007519,28
186,-115,158,3.018465,29
166,-104,174,1.402775,30
191,-124,173,8.01343,31
174,-112,161,32.840201,32
177,-117,169,3.200629,33
187,-123,161,1.020143,34
179,-119,161,3.717336,35
189,-127,169,6.677552,36
181,-121,163,8.705198,37
188,-127,163,1.070991,38
183,-124,167,0.643179,39
184,-125,163,63.313196,40
188,-129,167,6.090837,41
185,-126,164,4.983493,42
187,-128,166,3.899528,43
186,-127,166,4.340611,44
185,-125,165,6.707776,45
184,-125,165,5.350966,46
184,-125,167,2.181704,47
183,-125,167,6.302981,48
183,-125,166,3.700537,49
178,-119,165,21.415559,50
180,-121,166,5.292733,51
182,-123,166,15.010712,52
181,-121,166,5.005787,53
182,-122,166,1.728049,54
180,-119,166,1.770766,55
182,-119,166,7.720683,56
180,-120,166,28.010197,57
181,-120,166,3.566317,58
