"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"COL","6SMD-FN","825mil","1140mil","825mil","1140mil","795.472mil","1165.591mil","T","0.00","Color Sensor"
"R27","0402","670mil","1470mil","670mil","1470mil","650.315mil","1470mil","T","360.00","180K"
"R40","0402","685mil","1520mil","685mil","1520mil","685mil","1539.685mil","T","270.00","43K"
"C19","0402","655mil","1520mil","655mil","1520mil","655mil","1539.685mil","T","270.00","0.1uF"
"U","OPAMP_SC70","1010mil","465mil","1010mil","465mil","1043.465mil","439.409mil","T","180.00","Microchip MCP6001"
"MIC","MICROPHONE","1194.37mil","670mil","1155mil","670mil","1194.37mil","707.402mil","T","270.00","Microphone"
"R10","0402","1110mil","494.3mil","1110mil","494.3mil","1129.685mil","494.3mil","T","180.00","10K"
"R9","0402","1125mil","445mil","1125mil","445mil","1125mil","464.685mil","T","270.00","6.2K"
"R12","0402","1010mil","400mil","1010mil","400mil","990.315mil","400mil","T","360.00","33K"
"R8","0402","1235mil","425mil","1235mil","425mil","1254.685mil","425mil","T","180.00","100K"
"R7","0402","1235mil","450mil","1235mil","450mil","1215.315mil","450mil","T","360.00","100K"
"R11","0402","1194.811mil","500.126mil","1194.811mil","500.126mil","1214.496mil","500.126mil","T","180.00","2.7K"
"C2","0402","1100mil","445mil","1100mil","445mil","1100mil","425.315mil","T","90.00","1uF"
"C1","1608[0603]","1285mil","485mil","1285mil","485mil","1312.559mil","485mil","T","180.00","10uF"
"C4","0402","1010mil","375mil","1010mil","375mil","990.315mil","375mil","T","360.00","470pF"
"C3","0402","1200mil","535mil","1200mil","535mil","1219.685mil","535mil","T","180.00","1uF"
"R4","0402","940mil","745.316mil","940mil","745.316mil","940mil","725.631mil","T","90.00","82"
"LEG3","WIDE_LEG","1340.29mil","1122.5mil","1340.29mil","1122.5mil","1340.29mil","1122.5mil","B","90.00","Leg"
"LEG2","WIDE_LEG","309.715mil","1122.5mil","309.715mil","1122.5mil","309.715mil","1122.5mil","B","90.00","Leg"
"LEG1","WIDE_LEG","825mil","230mil","825mil","230mil","825mil","230mil","B","90.00","Leg"
"A1","SOT762-1","1280mil","500mil","1280mil","500mil","1220.945mil","509.842mil","B","360.00","And Gates"
