@relation resultsNCexpanded-weka.filters.unsupervised.attribute.Remove-R37-144

@attribute 00 numeric
@attribute 01 numeric
@attribute 02 numeric
@attribute 03 numeric
@attribute 04 numeric
@attribute 05 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 52 numeric
@attribute 53 numeric
@attribute 54 numeric
@attribute 55 numeric
@attribute R numeric
@attribute B numeric
@attribute RBx numeric
@attribute RBy numeric
@attribute H numeric
@attribute Hx numeric
@attribute Hy numeric

@data
21,23,149,172,25,2,7,-1,119,85,12,-7,9,26,8,22,22,-20,7,20,1,17,4,-13,20,22,35,42,27,-13,-15,20,22,20,29,-23,162,-70,152.230205,55.407263,-174,-0.350769,0.936462
20,-10,1,41,12,149,13,40,-34,36,15,5,16,37,2,21,10,-1,14,30,18,44,17,-16,20,17,-25,24,30,-7,37,4,-9,18,38,158,169,111,-157.775092,-60.564183,-55,0.022127,0.999755
16,34,-4,1,12,-4,18,25,0,55,17,4,16,28,23,26,22,3,-6,28,37,26,7,-9,4,116,82,69,31,-21,16,54,28,25,13,-7,186,-20,63.615747,174.782827,69,0.99339,-0.114785
14,1,3,488,75,-19,-11,17,17,445,44,-4,-9,23,26,69,24,11,26,19,12,60,16,-13,19,12,11,42,21,-11,-5,33,-3,35,31,-35,110,-116,98.867345,-48.220826,132,0.99859,0.053084
24,20,-2,3,19,-10,28,20,36,36,27,-8,14,36,10,54,38,-11,5,1,-6,34,577,33,-19,30,-22,151,465,-1,8,6,18,42,31,7,111,-171,17.364226,-109.633406,-109,-0.577002,-0.816743
0,35,-8,3,22,-2,0,159,3,6,12,7,2,175,15,19,13,-10,30,19,-13,-3,-8,-5,26,17,28,23,-4,11,21,31,11,28,2,-10,146,31,-75.195559,125.146426,-48,-0.640144,0.768255
33,-3,160,283,21,6,11,21,36,23,19,-8,16,2,28,15,3,-18,22,2,0,35,0,-12,2,28,22,21,16,-31,-9,19,86,241,9,5,150,-91,149.977154,-2.617861,104,-0.946868,-0.321622
32,24,157,155,6,1,17,40,139,62,11,2,18,8,7,-2,-5,-1,30,43,-6,17,-6,13,10,28,26,-1,-10,-9,2,-10,12,12,16,-23,162,-69,151.240029,58.055608,-173,-0.977527,0.210811
18,2,11,30,25,154,6,-2,-1,18,5,-2,27,33,-30,-4,24,10,-9,-6,5,-9,7,-9,13,29,12,14,2,6,38,18,-30,-2,8,173,169,111,-157.775092,-60.564183,-56,0.85322,0.521551
5,21,0,20,-5,-1,24,18,-21,-10,2,-7,122,83,-21,0,15,1,219,12,-11,15,0,-4,32,35,-17,9,14,1,3,16,-19,-4,3,1,134,60,-116.047404,67,79,-0.895971,-0.444113
-22,13,27,23,17,-11,25,23,95,17,20,12,20,70,54,-7,14,-5,16,29,7,26,-2,2,27,32,7,-6,11,2,21,9,-9,17,9,-5,160,-47,117.016592,109.119738,-130,-0.367291,0.930106
-31,5,19,9,13,-11,-17,36,-10,8,22,-8,26,20,28,19,13,-4,2,27,16,4,14,16,-9,113,77,9,9,15,1,46,5,15,2,-9,186,-20,63.615747,174.782827,69,0.99339,-0.114785
5,33,11,-11,18,-14,-3,5,1,11,19,17,0,41,-12,23,25,27,6,14,-7,-6,545,22,15,-4,28,137,464,-11,9,11,-12,23,24,-28,111,-171,17.364226,-109.633406,-109,-0.577002,-0.816743
7,25,174,276,6,16,31,1,24,26,4,-22,15,42,27,16,16,-6,3,17,25,54,11,-15,4,16,7,39,22,20,11,21,114,247,25,9,150,-92,149.908624,-5.234925,103,-0.782231,0.622989
-28,14,10,22,13,-4,13,49,10,5,23,18,161,8,-11,26,0,84,164,18,-5,4,12,138,1,5,-19,0,0,26,22,3,-22,-7,2,-8,159,85,-158.394957,13.857763,98,-0.819288,-0.573382
33,23,129,149,4,-7,18,44,166,54,-9,-3,-4,15,17,15,-8,-25,12,17,4,-4,-5,-15,-7,-1,5,1,14,-3,12,4,37,-7,18,5,162,-70,152.230205,55.407263,-173,-0.977527,0.210811
12,20,-13,-13,17,164,32,7,-30,5,-7,18,8,19,0,22,9,7,17,-11,-15,-12,0,-4,9,11,54,40,17,-3,-5,15,24,19,7,165,169,111,-157.775092,-60.564183,-56,0.85322,0.521551
10,0,15,20,-6,-2,2,11,-28,42,7,-12,95,68,31,20,24,-16,251,31,11,10,-1,6,51,33,35,3,13,15,30,30,6,21,-5,2,134,60,-116.047404,67,78,-0.857803,0.513978
-1,-2,2,43,11,-6,13,43,151,12,12,0,-3,85,83,31,0,5,-8,6,26,15,11,1,16,35,12,18,16,-8,-18,15,-6,36,26,-9,160,-46,115.094368,111.145339,-130,-0.367291,0.930106
9,27,0,14,-1,-26,11,37,-30,37,9,1,16,31,29,15,-3,-3,8,36,16,24,8,-9,-11,90,50,15,3,-12,6,35,0,-20,5,-13,186,-21,66.656439,173.645959,68,0.440143,-0.897928
9,4,-2,463,88,7,8,39,32,452,30,10,2,19,49,75,6,0,7,9,19,43,1,0,7,10,-4,7,2,5,30,6,21,33,19,4,110,-117,98.010718,-49.938955,131,0.584209,-0.811603
14,-9,2,8,10,9,32,31,22,-5,23,10,-4,17,-8,-8,19,-10,-2,26,19,5,560,11,11,29,11,138,464,-10,-21,27,-14,12,20,-6,111,-170,19.274948,-109.313661,-109,-0.577002,-0.816743
-7,23,-12,17,-1,-1,17,158,27,6,6,-22,13,42,-3,2,10,-9,19,-7,-14,-24,10,-11,17,2,-15,22,3,7,1,3,-22,-15,-2,23,146,31,-75.195559,125.146426,-47,-0.992335,-0.123573
0,12,193,284,4,9,-3,13,37,-8,18,8,1,4,-10,-19,0,8,12,27,6,18,11,-6,17,16,23,6,-20,-17,3,2,115,211,8,-19,150,-90,150,0,104,-0.946868,-0.321622
6,28,-12,-16,8,-3,25,30,8,4,2,-8,25,8,-8,1,10,59,35,40,32,20,24,126,-10,19,0,21,24,28,0,30,16,8,31,15,159,86,-158.612684,11.091279,99,0.039821,-0.999207
19,0,153,162,-2,-6,19,33,152,52,18,-2,-1,12,-14,8,-2,-4,-1,-4,-6,14,11,6,-5,26,-5,9,10,21,22,30,-4,22,5,10,162,-69,151.240029,58.055608,-172,-0.705551,-0.708659
32,17,1,4,17,171,8,18,-16,-27,6,0,-5,13,3,-7,16,-16,-12,20,9,-17,14,-16,-3,12,-5,-1,12,4,-10,7,3,1,9,178,169,112,-156.694071,-63.308514,-55,0.022127,0.999755
4,28,26,-34,-1,-8,17,3,-15,-1,16,10,87,70,-14,13,18,3,236,7,-7,-19,3,44,28,32,7,9,22,29,2,22,10,-3,10,0,134,60,-116.047404,67,79,-0.895971,-0.444113
1,22,28,-22,26,3,-7,28,109,17,7,-3,3,104,81,26,9,5,3,28,4,-30,1,8,4,23,12,-4,-5,-3,-2,10,-9,-4,-1,13,160,-47,117.016592,109.119738,-130,-0.367291,0.930106
-7,3,3,10,18,4,5,24,12,7,8,11,11,19,13,-1,-5,7,26,38,61,14,6,-1,-14,117,80,-9,1,-14,40,72,3,-7,10,-15,186,-20,63.615747,174.782827,68,0.440143,-0.897928
40,22,-17,6,15,-10,-7,25,-17,-17,26,2,3,11,-22,-23,33,9,1,12,-9,17,577,46,-11,8,-15,125,466,29,34,18,18,33,35,-2,111,-171,17.364226,-109.633406,-109,-0.577002,-0.816743
17,31,-5,9,-6,-21,-18,106,27,5,21,15,18,17,11,-5,10,15,30,28,5,20,21,-22,11,25,14,-20,-1,1,-6,14,21,5,13,-2,146,31,-75.195559,125.146426,-46,-0.432178,-0.901788
-30,-20,-32,24,18,0,7,10,-34,-21,0,13,59,35,0,23,19,71,8,12,30,-10,13,137,-4,6,5,-14,8,25,11,24,33,10,13,-13,159,85,-158.394957,13.857763,98,-0.819288,-0.573382
18,60,25,12,-3,2,25,44,11,34,10,-15,6,64,31,12,-1,6,-25,17,4,20,0,30,26,-9,0,17,0,43,5,16,9,25,-3,8,136,60,-117.779455,68,82,0.949678,0.313229
6,33,41,10,10,18,-10,44,151,-1,12,21,-5,68,17,2,6,14,10,40,24,1,4,17,15,30,34,24,3,-5,3,16,19,21,10,-6,159,-45,112.429978,112.429978,-133,0.494872,-0.868966
-20,27,15,22,11,-2,-6,48,-11,2,4,10,8,15,16,-10,10,4,21,29,64,5,11,17,25,45,90,13,6,15,1,21,73,31,7,-6,193,-21,69.165014,180.181022,74,0.171717,-0.985146
11,9,-29,48,10,-3,-18,19,22,33,13,-1,18,34,15,28,-1,19,20,10,8,35,429,14,22,35,53,108,317,13,-10,-8,13,15,24,-13,122,-170,21.185078,-120.146546,-113,0.995267,0.097182
-6,-3,-7,26,-1,-23,22,19,-5,27,15,0,3,12,44,27,-3,22,13,19,-33,18,29,28,11,7,7,2,-26,4,0,41,44,7,11,9,155,36,-91.106714,125.397634,-11,0.004426,0.99999
